Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;42080,0;0,91;8930043380;213061;380,0;41760,0;42080,0;41680,0;41913,08;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;20160,0;2,34;7795662100;392860;460,0;19800,0;20160,0;19800,0;19843,36;GRUPO ARGOS;EQTY
ICOLCAP;15342,0;0,54;5033573882,5;328361;82,0;15340,5;15342,0;15300,0;15329,39;FONDO BURSATIL ISHARES COLCAP;EQTY
GRUPOSURA;37500,0;0,27;4529962240;120821;100,0;37700,0;37800,0;37300,0;37493,17;GRUPO SURA;EQTY
ECOPETROL;2115,0;0,95;3684991940;1751197;20,0;2100,0;2120,0;2090,0;2104,27;ECOPETROL;EQTY
PFDAVVNDA;18920,0;0,32;959344520;50770;60,0;18920,0;19000,0;18860,0;18895,89;BANCO DAVIVIENDA;EQTY
PFGRUPSURA;30780,0;0,0;886000040;28816;0,0;30700,0;30780,0;30640,0;30746,81;GRUPO SURA;EQTY
PFAVAL;578,0;1,4;875557144;1515692;8,0;578,0;579,0;576,0;577,66;GRUPO AVAL ACCIONES Y VALORES;EQTY
CEMARGOS;10780,0;0,75;816975320;75784;80,0;10720,0;10800,0;10720,0;10780,31;CEMENTOS ARGOS;EQTY
BOGOTA;28740,0;0,77;455524260;15960;220,0;28560,0;28740,0;28320,0;28541,62;BANCO DE BOGOTA;EQTY
PFGRUPOARG;15000,0;0,27;391945880;26159;40,0;15000,0;15000,0;14920,0;14983,21;GRUPO ARGOS;EQTY
BCOLOMBIA;44800,0;0,45;377991520;8470;200,0;44300,0;44800,0;44300,0;44627,1;BANCO BANCOLOMBIA;EQTY
ISA;17940,0;1,24;335836840;18858;220,0;17680,0;17940,0;17680,0;17808,72;ISA INTERCONEXION ELECTRICA;EQTY
CONCONCRET;619,0;-1,59;220678573;353129;-10,0;629,0;629,0;619,0;624,92;CONCONCRETO S.A;EQTY
GRUBOLIVAR;63400,0;0,79;195483720;3086;500,0;63400,0;63400,0;63400,0;63345,34;GRUPO BOLIVAR;EQTY
CNEC;11000,0;-0,9;112146000;10253;-100,0;10780,0;11000,0;10780,0;10937,87;CANACOL ENERGY LTD;EQTY
PEI;68900,0;-0,72;106683620;1544;-500,0;68900,0;69500,0;68900,0;69095,61;PEI;EQTY
EXITO;-;-;98586825;51919;-;-;-;-;1898,86;EXITO;EQTY
PROMIGAS;6900,0;-;97099040;13971;0,0;6900,0;6900,0;6900,0;6950,04;PROMIGAS;EQTY
TERPEL;12300,0;2,5;82534120;6710;300,0;12380,0;12380,0;12300,0;12300,17;ORGANIZACION TERPEL;EQTY
CELSIA;3675,0;0,14;82240345;22402;5,0;3675,0;3675,0;3670,0;3671,12;CELSIA;EQTY
NUTRESA;118000,0;8,26;72018000;610;9000,0;118000,0;118020,0;118000,0;118062,3;GRUPO NUTRESA;EQTY
PFCEMARGOS;11160,0;-1,24;54814760;4986;-140,0;10700,0;11160,0;10700,0;10993,73;CEMENTOS ARGOS;EQTY
GEB;2565,0;0,39;42417770;16498;10,0;2565,0;2565,0;2565,0;2571,09;GRUPO ENERGIA BOGOTA;EQTY
ENKA;18,7;-;38785953,5;2073929;0,0;18,7;18,7;18,7;18,7;ENKA DE COLOMBIA;EQTY
GRUPOAVAL;-;-;29241922;51702;-;-;-;-;565,59;GRUPO AVAL ACCIONES Y VALORES;EQTY
CORFICOLCF;-;-;28197800;1610;-;-;-;-;17514,16;CORFICOLOMBIANA;EQTY
BVC;-;-;13572900;1227;-;-;-;-;11061,86;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCORFICOL;-;-;5292100;337;-;-;-;-;15703,56;CORFICOLOMBIANA;EQTY
ETB;-;-;3598200;65400;-;-;-;-;55,02;ETB;EQTY
HCOLSEL;-;-;1059479;64;-;-;-;-;16554,36;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
BHI;-;-;81220;270;-;-;-;-;300,81;BAC HOLDING INTERNATIONAL CORP;EQTY
FABRICATO;-;-;22386;11193;-;-;-;-;2,0;FABRICATO;EQTY
